CN_ID,CN_Title,CN_Text,WD_InventoryNum,WD_Title,WD_Description
1,Human-headed Pot,"There is a message from national treasures, please check it. Like you, it's from Earth, literally from the ground.   Yet for thousands of years, it's been like this — frozen in time, gazing up at the sky. What is it doing?   Keeping its chin up? Facing the challenges of life?   Or does it represent a more elevated ambition? Is this the first stargazer?   Maybe it's both. 7,000 years old, the legacy of the Yangshao culture, it dates from the Neolithic period, the new Stone Age — a time when people began to make elegant ground, polished stone tools instead of crude functional ones to farm and live together in settled communities.   In short, to lay the foundations of civilized existence. Pottery, the art, the craft of transforming clay, essentially dirt, by means of hands and fire, was an accidental discovery that had been made tens of thousands of years earlier.   It was a momentous one, full of potent symbolism. By playing with mud, humanity suddenly came of age, discovered the power of creation by a process as bright and hot as the Sun itself.   Cold, heavy clay, the dirt into which all living things decayed became something. A new age had dawned, one of speculation on the big issues of life — death, and humanity's place in the cosmos.   In fact, this jar is just one of many perplexing and seemingly perplexed faces that stare back at us across the Gulf of time. Heralds of the birth of culture, of human civilization.   But what of this one? Who is it?   What does it mean? It's hard to say for certain, even its gender, while the upturned lips innocently imploring suggests the child.   The rotund body of the actual jar suggests a sexually mature woman. It's a symbolically pregnant combination, literally.   A spout of the jar is an oval-shaped mouth and two squinting eyes. So narrow, that it was surely made to serve ritual rather than practical purposes.   Water, life force, flowing with difficulty for mother to child, culminating in the tears of mother and child alike that accompanied the arrival of the new life. Whatever its meaning, whatever its purpose, 6000 years have passed, the flesh-and-blood people who created it have vanished   Their village is gone, their rituals forgotten. But here, it still is permanent, as the earth that came from, as unchanging as the heavens above, the feelings of its creators captured forever.   People who suffer the pangs of birth faced up to the struggles of life and gazed in wonder at the Stars. People just like us.",RV-3041-1,Pot,"This pot has emerged completely undamaged - after more than 4,000 years in the ground. The almost completely round pot has a remarkably thin wall. The potter painted four swirling spirals with mineral dyes. A band of garlands forms the separation from the unpainted lower part. The upper part is smoothly polished, making the decoration extra noticeable. Fragments of red pottery were found during excavations in 1921 near the town of Yangshao in Henan province. In the years that followed, similar pottery was found in numerous places in northern China among other remains of prehistoric settlements. These date from the period between the fifth and second millennium BC. After the first site, the settlements are given the collective name Yangshao culture complex.
This pot was recovered from a prehistoric cemetery in the Banshan Hills in southern Gansu province. The Chinese name for these pots is 'guan'. Filled with provisions, they were given as grave goods to the dead."
2,Jiahu Bone Flute,"There is a message from national treasures, please check it.   9,000 years ago, a crane took flight for the last time.   Yet, though this bird would never fly again, he would, in a sense, sing again, and in so doing, open up a new chapter in history.   Whether inspired by the eerie wailing of the other cranes, we don't know; but whoever gathered up the bones of the dead crane did something amazing.   Of course, with its crude mouthpiece and misaligned finger holes, its rather rudimentary.   But it's the flash of genius behind it that counts.   Here we have an archetype, the ancestor of the Chinese flute.   Ding XiaoKui is playing a copy of that bone flute.   The original was discovered at Jiahu in Hunan Province. 9,000 years ago, the site of a prehistoric settlement.   Between 1986 and 1987, more than 20 bone flutes were unearthed here.   The oldest musical instruments so far found in China.   We can only guess why these bone flutes were first made.   Most likely they were originally hunting decoys, used to mimic the sounds made by birds in order to lure prey.   Perhaps the sounds they made became associated over time.   With a thrill of the hunt, music was born.   One especially interesting feature of the Jiahu Bone Flutes is that they developed and improved, whilst the earliest examples had five finger holes, later ones — seven or eight.   This has a very significant implication, far from being restricted to the five note pentatonic scale.   As was once believed, the early Chinese music might have been based on a seven note scale, like the one we use today.   And even the misaligned finger holes suggest common ground with modern-day music, working out where an irregularly shaped piece of material like a wing bone to make the holes must have been a matter of trial and error, as it still is even for today's top flute tuners.   9,000 years on, what were once hunters decoys have metamorphosed into instruments of pleasure and artistic expression.   And in the hands of modern Chinese artists like Ding XiaoKui, these musical instruments unheard for thousands of years are singing once again.   New life breathed into a long-forgotten tradition, just as 9,000 years ago, our ancestors breathed life into the dead bone of a bird and produced the sound.   The first faint cry of a civilization about to be born.",RV-1070-238,Guitar,"moon guitar, ... ..., yue-ch'in
made from different types of wood, bamboo and silk strings. A metal tongue rattles inside. Circular sounding board. The end of the curl is cut in the shape of a traditional bat. The four screws are sponge-shaped and shallowly grooved in a hexagonal shape. The ten keys are made of bamboo.
The back leaf is cracked in two places, while one wing of the bat is glued. Two strings have been broken and tied together, one string replaced by one from another instrument.
Dimensions: soundboard D. 34.75 cm. Thickness 4 cm. Total L. 59.5 cm."
3,Pottery Eagle-shaped Tripod,"There is a message from national treasures, please check it.   All pottery is unique.   Each piece, no matter how humble, undergoes a series of trials, dragged kicking and screaming from the clay, pressed and molded into shape, fired.   Only when it has survived these rites of passage does it become permanent, an object in its own right.   But there's one piece of Chinese pottery, this may be more special than any other.   It's a cauldron in the shape of a hawk, just one of many unearthed ceramic objects attributed to the Neolithic Yangshao Culture.   It's special because unlike most other examples of Yangshao pottery, it serves no obvious functional purpose.   Questions abound: what was it for?   Holding water? Storing food? Or did it serve a ritual purpose?   Why is it shaped like a bird?   To date, nothing else quite like it has been found.   So scholars and researchers are sure to continue debating these questions.   But maybe there's another possibility, that it was purely decorative.   6,000 years ago, Chinese pottery had transcended the practical and function, and acquired an artistic aesthetic dimension.   Keke is a Potter.   She's especially keen on ancient animal-shaped pots like these.   She's going to try to make a copy of the Hawk-shaped-cauldron.   But making a copy is about more than satisfying a whim.   After a gap of 6,000 years, there's no way of knowing exactly how this cauldron was made.   Making a new one will involve a lot of guesswork on Keke's part.   Guesswork that will cast light on how Master Potter's worked six millenia ago.   The actual receptacle of the cauldron is supported by two stout legs resting on clawed feet and a tail.   It's generously proportioned, perhaps hinting that a magnanimous heartbeats within the chest of this bird.   Overall, it's a curious composition: cute, noble, and severe, all at the same time.   In fact, it's the cuteness of the hawk that gives this ancient work of art a surprisingly modern and contemporary feel, showing just how exquisite craftsmanship can speak to us, move us, even after 6,000 years.   The Hawk-shaped-cauldron is more than a handful of clay from 6,000 years ago.   It's a vessel, overflowing with the water from the wellspring of Chinese civilization.   Perhaps more than any other, pottery is the art of time.   Leave clay too long, and it'll dry, and crack. Let it get too wet, it'll fall apart.   It's about knowing when, as much as what, how long to fire in the kiln; how long to let it cool down.   Living in an age when the pace of life has never been faster, the ancient craft of pottery has a lot to teach people today.   And maybe that's the message: the Hawk-shaped-cauldron has for us today: about the patience and care that went into its creation; a process that produced something of superb craftsmanship that endured for more than 6,000 years, and now gazes out at us from its perch in the National Museum of China.", RV-3463-1,Vessel,"This vessel is shaped like an owl. The head serves as a stop, the tail and the legs as a foot. The vessel was made as a grave gift in the Han period (206 BC - 221 AD). The red pottery contains remains of green and grayish glaze.

Grave goods have been given to the dead since earliest Chinese history. In the past, these were mainly real utensils and animals, and even servants buried alive. But in the Han period, pottery models were often used. Animal figures that were buried included statues of domestic animals, such as dogs, ducks and pigs, as well as animals with symbolic meaning. In China the owl is said to summon the soul of the dead."
4,Longshan Eggshell Black Pottery Cup,"There is a message from national treasures, please check it.   What do you think of when you hear the word ""thin""?   A butterfly's wing, the edge of a coin, a centimeter, a millimeter, or 0.2 millimeter?   Some four thousand years ago, along the banks of the Yellow River, the Longshan culture achieved something remarkable, a fusion of superb craftsmanship and a basic material.   Only a few products of this union have survived down to the present day — Eggshell Black Pottery Goblets.   Wherever you look, the emergence of culture and civilization has always been heralded by mastery of art of pottery.   But there's something different about the black pottery produced by the Longshan culture.   Across the archaeological community, there's a general consensus that nothing from the same period rivals Longshan Black Pottery Goblets in delicacy.   What's more, the various shapes and sizes of the black eggshell pottery goblets indicate they were not mass-produced articles.   It seems each one was individually handcrafted with painstaking skills.   In fact, the level of craftsmanship is such that it remains unrivaled to this very day.   It is hard to make pottery as thin as this, even using modern technology.   So how were they made?   No one knows for sure.   All we can say is that they were made on a potter's wheel, an extremely fast, accurate, and stable one.   Until the kilns and workshops that produced them are discovered, we can only marvel and imagine how these delicate works were produced 4,000 years ago.   It's possible to say more with certainty about the clay that was used.   Fine silt, deposited in ancient rivers and lakes.   Once carefully rinsed and washed, it became a material of extraordinary malleability and durability.   Part of the secret might also lie in the kilns used to fire them, the temperatures they could achieve, and the time these black eggshell pottery goblets spent inside them.   Firing almost certainly explains the color.   The technique known as ""sealed firing"" allows carbon molecules to penetrate the clay at high enough temperatures, thus coloring it before it's polished.   But however it was achieved, the effect is stunning.   A mysterious black metallic luster, that even today, after 4,000 years, evokes feelings of reverence and awe.   High-end products like these were certainly not for the mass market, so to speak.   So who were they for?   And what purpose did they serve?   The most likely explanation is that they were sacrificial vessels, the preserve of the elite ruling class, used to showcase and highlight power and status.   As it spread down the Yellow River, the pottery produced by the Longshan culture became even more sophisticated.   Underlying this improved technology and craftsmanship is an increasingly more sophisticated social order.   But pottery had a fatal drawback.   It was weak and brittle, but times were about to change.   A new material was on its way, one that would herald the arrival of a new age — bronze.",RV-3182-1,Pot,"This pot dates from the beginning of the Zhou period, c. 1100 BCE. It is hand-shaped from slate-grey clay, and fired without glaze. The three feet are shaped like breasts. Vertical and horizontal lines have been scratched into the clay as decoration."
5,Hongshan Jade Dragon,"You have a new message from an ancient treasure.   This mysterious work of jade art was discovered in Ongniud Qi in Inner Mongolia.   The nose is upturned, and the eyes slightly convex.   The main gives the impression for creature in flight.   The design is simple and elegant; the jade fine and smooth.   It's as if and still soaring on a wind that blew five thousand years ago.   The similar jade piece was discovered in the village of Tala in Sanxing; known as the first dragon of China, it is regarded as the archetypal ancient depiction of a dragon.   Both Jade Dragons were discovered near the city of Chifeng.   It was here in the Liaohe River Basin that Hongshan culture originated around 5,000 years ago.   It was a time of great intimacy between people and their natural environment, when life and spirit flowed freely between humans and nature.   The Jade works of Hongshan culture are plain, unadorned, and bulky.   The image of the Jade Dragon Ball has become a symbol of Hongshan culture.   Yet the Ball and Dragon-shaped pottery of Hongshan is predated by that of Xinglongwa; and images of dragons and tigers made from shells have been found in graves at Yangshao.   These cultures flourished in areas geographically far apart.   Yet all three present the common image of the dragon.   There's a combination of parts of several different creatures.   All things share a common origin.   This is true of China's ethnic groups.   The dragon is the symbol of the Chinese nation.   Every aspect of the life, but every Chinese person is like a scale on the Dragon's body.   Together, these scales shaped Chinese civilization.   So how did the Chinese Dragon come into being?   Various Jade pieces service footprints, which we can follow back through time.   The changes point to the aesthetic sensibilities of different eras.   The curled Jade rings resemble a baby in the womb.   They appear to be the earliest form of a dragon.   It's as if they are depicting the conception of life and of civilization.   Held up to the light, just as our ancestors might have done 5000 years ago, we can only marvel at the clarity and translucent.   The curved spine arching towards the sky, suggests an imminently and a flight through time.",RV-2236-3,Jade,"pendant
flat, decorated a jour, formed from a combination of a large and a small stylized dragon of light brown jade with dark and light spots. Photo Presumably Sung period. Dimensions: L. 6.7 cm. W. 4.7 cm."
6,Lingjiatan Jade Plaque and Jade Turtle,"Some say it has something to do with astrology, some say it's a numerical trigram of numerical origin, others say it has something to do with calendars, and still others say it's the legendary Luoshu. All speculations point to the most sophisticated technology and culture of human prehistoric civilisation. The little-known Lingjiatan site in Anhui Province is deep in surprising discoveries. When unearthed, this exquisite jade plate was sandwiched between jade turtle shells, which should be a set of combination. The jade tortoise is divided into two parts: the dorsal armour and the abdominal armour, on which there are several holes corresponding to the left and right sides, and a small circle in the middle of the jade plate, which is accurately divided into eight parts by straight arrows, with four arrows pointing to the corners of the jade plate outside the large circle. On the surface of the jade tortoise and the jade plate, they seem to present us with the simplest numbers and directions. But when we really get to know it better, we realise that it is a complex mystery of the numbering and cosmic system. Both pieces of jade tortoise armour have holes drilled into them, with the back of the tortoise counting eight and the belly counting five. If the top and bottom are stacked on top of each other, the middle is five and each side is four, which is consistent with the number of dorsal armour of a real tortoise. The eight directions on the jade plate indicate directions, with five holes on each side. Lingjiatan also unearthed six small jade figures, each in two tombs, all of which had their five fingers stretched out in front of their chests, which also seemed to express something. As we all have two hands, each of which has five numbers, Chinese culture, including the five elements, has adopted the pentad system by organically rearranging the numbers within 10. By organically rearranging and combining the numbers within 10, interesting numerical phenomena are produced. The method of change is to put one, two, three, four, five on the upper left and six, seven, eight, nine, ten on the lower right, which is Luoshu. Luo is the chakra, the law of the orderly functioning of the world. It is a state of extreme balance, in which all the numbers straight and diagonal lines add up to the same sum. There are nine holes drilled in the top of the jade plate, and four holes in the bottom that also fit into this number. This is why some believe it to be the source of the Luoshu, and others believe that the Jade Plate pioneered the Chinese numerical trigrams, the basis of abstract mathematics. The eight-pointed star symbol in the centre of the jade plate is also an ancient and interesting mystery. Until now, this symbol has been found in several ethnic groups in China, and even throughout many cultures around the world. These graphic symbols are like hidden codes of natural laws, but they have gradually been neglected and forgotten. The eight-pointed star pattern also appeared on the Lingjiadan jade eagle, of course, the magic of Lingjiadan is not only here, it also opens up a world of jade for us, Bijuan, battle-axe, adze, ring bracelet, penannular jade penannular, pipe beads and so on, already has a complete set of jade ritual scale. The wide range of cultural symbols covered by Lingjiatan and the depth of its origin are rare in the world. This is a peak of human culture, but an underestimated prehistoric civilisation. The total area of the Lingjiatan site is about 1.6 million square metres, and after five excavations, it only accounts for one eight-hundredth of the total area of the site. Perhaps in the near future, we may be shocked again by new discoveries.",RV-2670-2,Funeral statue,"This funerary figure of a turtle was given to a deceased person during the Han period (221 BC - 220 AD).

Grave goods have been given to the dead since earliest Chinese history. In the past, these were mainly real (utility) objects and animals, and even servants buried alive. Pottery models were often used in the Han period. The animal figures that were buried included domestic animals, such as dogs, ducks and pigs, but also animals with a symbolic meaning. The turtle is a sacred animal in China that rules the north. It symbolizes winter and long life."
7,Liangzhu Yu Cong,"there is a message from national  treasures please check it what can you  read in these eyes gazing at us across  the Gulf of time what hints do they give  us of life in days long long ago  none of the passions that dwelt in the  hearts of the people who lived through  them  5,000 years ago the liangzhou area near  hangzhou was home to a highly  sophisticated culture it's people live  together in villages buried their dead  performed rituals irrigated the land  above all there were masters at working  Jade  since excavations here began in 1936 the  most important discovery has been this a  jade tome engraved with those piercing  mysterious eyes nobody knows for sure  what these mysterious things were  actually for but what we can say for  certain is that eight point nine  centimeters tall and seventeen point six  centimeters wide and weighing in at six  point five kilograms this tall is huge  hence its name the Jade toll King but  there's another reason why it deserves  this nickname the pattern engraved upon  it to begin with this was overlooked  when it was first discovered in 1986  during the excavation at the tomb of  Phan Shan Hill like many similar objects  it appeared to show a mythical creature  called tau TIA  under closer analysis however  archaeologists began to make out details  that show that this tone was very far  from typical  taking a closer look lines next to the  eyes resolve themselves into a pair of  hands these interns seem to be connected  to disproportionately long arms it was  then that the archaeologists realized  that this was no ordinary tau T o motif  they were looking at the face of a god  what's more that of a completely unknown  deity  [Music]  for one thing its posture was odd arms  up elbows bent the fingers of both hands  spread shrunken head forward what did it  represent a God riding a mythical  creature perhaps even the birth of a  mythical creature for different deities  being depicted or different facets of  the same one  Jade occupies a special place in Chinese  culture the significance of the Lee Jung  Joo Jade Tong is that it shows that the  connection between jade and ritual and  worship began in China's prehistory over  40 kinds of jade objects have been found  at Lee Jung Joo so far only a few  objects bearing the image of this God  have been found all of them in the tombs  of Nobles could it be that these  high-ranking Nobles  were actually priests if so this could  hint at the original purpose of the Jade  tone that it played a mediating role  between the leones you people and their  God it might also be that this jade tall  also has something to tell us about the  intercultural communication in  prehistoric China the crest of radiating  lines above the gods head is remarkably  similar to motifs found on relics  related to an even more ancient culture  the seven thousand year old bull moudou  culture  was there a connection between the Lee  Jung Joo  the who'll mildew and other Neolithic  cultures if so what was it how did  ancient cultures dispersed over the vast  territory of China interact with each  other the answer to these questions and  many more is surely lurking behind these  eyes staring out at us across a gulf of  5,000 years if only this national  treasure could talk  [Music]",RV-5965-7,Jade,"Symbol of the earth. Tsung. Light brown marbled, smoothly
polished, slightly translucent jade. Chou?"
8,Turquoise-inlaid Bronze Plaque,"You have a new message from an ancient treasure.  From angled sockets, two round eyes stare out, through 3,500 years of history.   But is it a dragon, or a tiger? A bull or a deer? An owl or a bear?   These eyes seem to be asking us the same question: who are you?   The bronze plaque is slightly convex.   Its inlaid with 300 tiny pieces of turquoise revealing a remarkable level of craftsmanship.   Predating written language in the region by 500 years, it conveys a wordless message: below the fields lies a city.   At its heart is a vast palace.   Some people believe this was the capital of the semi-mythical Xia dynasty.   This was the site of a vast bronze workshop.   The bronze age emerged relatively early in Western and Central Asia.   It was only later that small bronze vessels appeared in northwestern China, and at the time of Longshan culture on the central plains.   During the Erlitou era, bronze vessels were being made, that were of a far greater size than anything seen anywhere else in the world.   Among 200 vessels on earth that Erlitou is this ornamented sacrificial bronze Zun, the earliest object of its kind ever found in East Asia.   The spout, the handle, the three legs; it resembles early pottery vessels, except that it was cast in a new material: bronze.   The ability to forge metal alloys made the Erlitou culture the most advanced civilization of its time.   The bronze was first cast and then inlaid with the turquoise.   This union between metal and stone heralded a major advance by the bronze age in East Asia.   The pieces of turquoise were carved into triangles, hook shapes, trapezoids, strips, and circles.   The image they form is strange, revealing the contours of horns, a nose, eyes.   2,000 pieces of turquoise retreat the scales of a 70-centimeter-long dragon.   From deep sockets, a pair of bulging jade eyes cast a glance connecting heaven and earth.   The plaque would be laid on the chest of a dead person, accompanied by a bronze bell with a jade clapper.   Perhaps the fiery eyes of this mythical creature hurried the deceased on his way to the realm of his ancestors.   We've seen these eyes before at Tianshui in Gansu and Sanxing in Sichuan.   They are evidence of human interaction across thousands of miles, three millennia ago.   They cannot speak to us, but they don't need to.   Having witnessed China's first dynasty, these eyes are still watching as time passes.   我的笔记",RV-3927-1,Dagger,"This object most likely dates from the Shang-Yin period (1500-1100 BC). The rich decoration shows that the dagger had a ritual function. It was given as a grave gift to a prominent person.

Presumably the hilt was originally twice as large and contained a bronze dagger. The recesses were provided with colorful inlays, possibly made of mother of pearl, coral or turquoise. The decorations take the form of stylized, interlocking dragons and spirals. Such spirals are common on objects from early Chinese history and are called 'lei-wen'. There is a beautiful shine over the most raised parts. Here and there are pieces of caked soil that have dried."
9,Yinxu Turquoise-inlaid Oracle Bone,"There is a message from national treasures, please check it. It's been knocked about a bit. That's to be expected after 2300 years.   Yet, scorched and battered though it undoubtedly is, on the whole, the ravages of time have been rather kind to the sheet of bronze. Look behind the dents and marks, and you can still make out the gold and silver lives of what might be the earliest surviving architectural drawing.   The plan of a proposed mausoleum for King Cuo, ruler of the state of Zhongshan, during the warring States Period. In fact, his existence is only known from inscriptions on these bronzes, which record that he dispatched troops to the state of Yan, helped put down an uprising.   The expedition was evidently successful and commemorated with a cauldron made from the spoils of war taken on the campaign. Located in what is now Hu of a province, sandwiched between two very powerful states, the affairs of her neighbors were very much Zhongshan's business in those turbulent times.   The bronze edging shows that King Cuo's ambitions weren't restricted to this life. Laid to rest in this palatial tomb complex, he would be a mighty king in death, too.   It was an ambitious scheme. The precise size and shape of each building, as well as the entire site, specified on this 96 by 48 centimeter drawing.   The drawings and plans are one thing, reality another. It's only when you take a look at the proposed site from the air that you start to get a real sense of what the King had in mind.   From his palatial tumb, Cuo would be at the center of this miniature kingdom of the dead. Sadly, perhaps, it was not meant to be — Zhongshan was destined to be wiped from the face of the earth.   Only the tombs of the king and his queen were ever completed. Poignant monuments to a king sported ambitions.   Gone, but not quite forgotten. 2,300 years later, the bronze is bearing Cuo's name resurfaced, a reminder of both of a long-forgotten footnote in the history of the warring States Period and the technological sophistication of ancient China.   What we see here is bronze of the finest quality, the work of a master craftsman with the most advanced broadcasting techniques at his fingertips. Stunningly decorated, it has a peculiarly contemporary feel to it.   Designed as a modular piece, the consists of individual parts ready to be disassembled, boxed up, taken away, at a moment's notice. This tiger is exquisitely well-observed.   The weight of the beast apparently displaced by the power of the bite inflicted on the frail fragile deer. It's also the ideal shape for a stand designed to support two fold-away screens.   These bronze tent fixtures are another good example of warring States modular design, a demonstration perhaps of just how important portability was back then. In a sense, these items embody the spirit of those times.   Invention born of necessity, flexibility essential, to surviving a ceaseless conflict of the warring States period. The time when for rulers and ruled alike, life was a constant battle, peace and repose only to be found in death.", RV-3883-1,Oracle,"The oldest forms of Chinese writing can be found on so-called oracle bones, fragments of animals, mainly shoulder blades of cattle and ventral shells of freshwater turtles, on which short texts have been scratched. They date mainly from the earliest period of Chinese history, the Shang dynasty (1500 - 1100 BC).

About 1900, Chinese scholars began studying the oracle bones. They discovered that some characters were precursors to today's Chinese script. This made it possible to decipher the writing and derive historical data from the texts. Things and people, until then only known from legends, turned out to have really existed.
The bones and shields were probably used in dowsing practices. They were heated until cracks and fractures appeared. On the basis of those cracks, a soothsayer made his predictions.
This fragment features an inscription consisting of various groups of characters. The bone dates from the Di Yi / Di Xin period and comes from the archaeological site of Yin Xu (Ruins of Yin)."
10,Houmuwu Ding,"There is a message from national treasures, please check it. Almost 4000 years ago, the Shang Dynasty was at its zenith, the peak of its glory, an advanced civilization whose craftsmen were capable of producing truly spectacular pieces like this special cauldron — The Houmuwu Ding.   Weigh in at almost 900 kilograms, this is truly a humongous cauldron. An equally gargantuan smelter, as well as huge quantities of metal and an army of craftsmen, would have been needed to make it.   So how was this amazing piece of metal work accomplished? Experts disagree.   Some argue that marks on the cauldron suggest it was cast separately, then pieced together. Others think it was cast as a single piece with only the handles added later.   The varying thickness of the constituent parts would oppose to an additional challenge to the craftsmen who made it. It's quite possible that several attempts were made before this large cauldron was successfully cast.   Meanwhile, over in Europe, with the glory days of Greece and Rome still a very distant prospect, the use of bronze remain restricted to weapons and tools. But in China, it was a different story.   In addition to weapons and tools, Shang dynasty in China was capable of producing distinctly non-utilitarian items. For example, the Magnificent cauldrons associated with the sacrificial rituals that were so important in those days.   And the bigger they were, the better. But though ritual explains Shang Dynasty China's enthusiasm for big bronze, in general terms, why was The Houmuwu Ding made?   Scholars are divided. Most believe it was made for Fujing, wife of King Wu Dean.   Others meanwhile point to its similarity to things found in the tomb of Fuhao, another of his wives. Inscriptions on oracle bones mention these powerful women.   Quite apart from their relationship with the king, they seem to have been important rulers in their own right. Fuhao enjoying a reputation as a warrior queen.   But Fujing it seems was regarded as an authority on agriculture. Military power and in agriculture, the twin pillars of the state.   And agriculture was by no means the lesser of the two. On the strangely-shaped Dahe Ding, there are depictions of what seems to be a woman's face alongside the characters Da and He.   Hua is the generic term for grain. One interpretation is that square cauldrons held grains in rituals performed in honor of the earth while round ones held meat and were used in rites to honor the heavens.   Since the earth was personified as the mother of all things, rights in her honor were performed by high-ranking women and using square cauldrons. Over time, the symbolism of these cauldrons became part of the Chinese national psyche, even to the extent of becoming part of the vocabulary of everyday life.   Indeed, the character for Ding or cauldron forms an element in many Chinese words, especially those with connotations of nobility and solemnity. And of these sacrificial cauldrons, the Houmuwu Ding, the king of dings, is the mightiest of all, a vessel that still after four thousand years, overflows with power and glory of the Shang dynasty.",7160-51,Ding,"This five-piece altar set uses the shapes of ancient Chinese bronzes. The set consists of a square 'ding' offering vessel, two 'gu' offering vessels and two candlesticks. Such altar sets were made in the late Qing in a variety of materials such as glass, cloisonne and porcelain. However, this set made by the San He Xing workshop is made of cheaper pewter."
