Category,Category_3,Category_4,Entity,
abstract_concept,abstract_concept,abstract_concept,abundance,
abstract_concept,abstract_concept,abstract_concept,Anonymity,
abstract_concept,abstract_concept,abstract_concept,Beauty,
abstract_concept,abstract_concept,abstract_concept,Bibliophilia,
abstract_concept,abstract_concept,abstract_concept,Blessing,
abstract_concept,abstract_concept,abstract_concept,Concentration,
abstract_concept,abstract_concept,abstract_concept,Creativity,
abstract_concept,abstract_concept,abstract_concept,Cultural memory,
abstract_concept,abstract_concept,abstract_concept,Cuteness,
abstract_concept,abstract_concept,abstract_concept,Darkness,
abstract_concept,abstract_concept,abstract_concept,Dignity,
abstract_concept,abstract_concept,abstract_concept,Emergence,
abstract_concept,abstract_concept,abstract_concept,Entity,
abstract_concept,abstract_concept,abstract_concept,Epitome,
abstract_concept,abstract_concept,abstract_concept,Error,
abstract_concept,abstract_concept,abstract_concept,Essence,
abstract_concept,abstract_concept,abstract_concept,Future,
abstract_concept,abstract_concept,abstract_concept,Generation,
abstract_concept,abstract_concept,abstract_concept,Genre,
abstract_concept,abstract_concept,abstract_concept,Heaven,
abstract_concept,abstract_concept,abstract_concept,Hierarchy,
abstract_concept,abstract_concept,abstract_concept,Human nature,
abstract_concept,abstract_concept,abstract_concept,Imagination,
abstract_concept,abstract_concept,abstract_concept,Knowledge,
abstract_concept,abstract_concept,abstract_concept,Luck,
abstract_concept,abstract_concept,abstract_concept,Majesty,
abstract_concept,abstract_concept,abstract_concept,Mouthfeel,
abstract_concept,abstract_concept,abstract_concept,Nothing,
abstract_concept,abstract_concept,abstract_concept,Orient,
abstract_concept,abstract_concept,abstract_concept,Peace,
abstract_concept,abstract_concept,abstract_concept,Perception,
abstract_concept,abstract_concept,abstract_concept,Personal development,
abstract_concept,abstract_concept,abstract_concept,Phenomenon,
abstract_concept,abstract_concept,abstract_concept,Principle,
abstract_concept,abstract_concept,abstract_concept,Promise,
abstract_concept,abstract_concept,abstract_concept,Prosperity,
abstract_concept,abstract_concept,abstract_concept,Quantity,
abstract_concept,abstract_concept,abstract_concept,Reason,
abstract_concept,abstract_concept,abstract_concept,Silence,
abstract_concept,abstract_concept,abstract_concept,Social order,
abstract_concept,abstract_concept,abstract_concept,Symmetry,
abstract_concept,abstract_concept,abstract_concept,Taste,
abstract_concept,abstract_concept,abstract_concept,Time,
abstract_concept,abstract_concept,abstract_concept,Time immemorial,
abstract_concept,abstract_concept,abstract_concept,Truth,
abstract_concept,abstract_concept,abstract_concept,Victory,
abstract_concept,abstract_concept,abstract_concept,Virtue,
abstract_concept,abstract_concept,abstract_concept,Vox populi,
abstract_concept,abstract_concept,abstract_concept,Wit,
abstract_concept,abstract_concept,abstract_concept,INFINITY,
abstract_concept,abstract_concept,abstract_concept,Wanderlust,
fashion/accessory,fashion,accessory,Amulet,
fashion/accessory,fashion,accessory,Bead,
fashion/accessory,fashion,accessory,Bracelet,
fashion/accessory,fashion,accessory,Buckle,
fashion/accessory,fashion,accessory,Button,
fashion/accessory,fashion,accessory,Crown,
fashion/accessory,fashion,accessory,Cuff,
fashion/accessory,fashion,accessory,Earring,
fashion/accessory,fashion,accessory,Handkerchief,
fashion/accessory,fashion,accessory,Jewellery,
fashion/accessory,fashion,accessory,Mask,
fashion/accessory,fashion,accessory,Pendant,
fashion/accessory,fashion,accessory,Tiara,
fashion/accessory,fashion,accessory,Tortoiseshell,
action,action,action,Dredging,
action,action,action,Duel,
action,action,action,Flight,
action,action,action,Gesture,
action,action,action,Harvest,
action,action,action,Hunting,
action,action,action,Looting,
action,action,action,Observation,
action,action,action,Sailing,
action,action,action,Drinking,
action,action,action,Knitting,
action,action,action,Navigation,
action,action,action,Nibble,
action,action,action,Pilgrimage,
action,action,action,Sitting,
action,action,action,Whispering,
agriculture,agriculture,agriculture,Mangzhong,
agriculture,agriculture,agriculture,Pasture,
agriculture,agriculture,agriculture,Soil fertility,
medicine/anatomical_structure,medicine,anatomical_structure,Abdomen,
medicine/anatomical_structure,medicine,anatomical_structure,Anatomical terms of motion,
medicine/anatomical_structure,medicine,anatomical_structure,Bone marrow,
medicine/anatomical_structure,medicine,anatomical_structure,Breast,
medicine/anatomical_structure,medicine,anatomical_structure,Canine tooth,
medicine/anatomical_structure,medicine,anatomical_structure,Cheek,
medicine/anatomical_structure,medicine,anatomical_structure,Ear,
medicine/anatomical_structure,medicine,anatomical_structure,Earlobe,
medicine/anatomical_structure,medicine,anatomical_structure,Elbow,
medicine/anatomical_structure,medicine,anatomical_structure,Eye,
medicine/anatomical_structure,medicine,anatomical_structure,Face,
medicine/anatomical_structure,medicine,anatomical_structure,Finger,
medicine/anatomical_structure,medicine,anatomical_structure,Foot,
medicine/anatomical_structure,medicine,anatomical_structure,Forearm,
medicine/anatomical_structure,medicine,anatomical_structure,Forehead,
medicine/anatomical_structure,medicine,anatomical_structure,Hand,
medicine/anatomical_structure,medicine,anatomical_structure,Heart,
medicine/anatomical_structure,medicine,anatomical_structure,Heel,
medicine/anatomical_structure,medicine,anatomical_structure,Hindlimb,
medicine/anatomical_structure,medicine,anatomical_structure,Horn (anatomy),
medicine/anatomical_structure,medicine,anatomical_structure,Human eye,
medicine/anatomical_structure,medicine,anatomical_structure,Incisor,
medicine/anatomical_structure,medicine,anatomical_structure,Knee,
medicine/anatomical_structure,medicine,anatomical_structure,Leg,
medicine/anatomical_structure,medicine,anatomical_structure,Limb (anatomy),
medicine/anatomical_structure,medicine,anatomical_structure,Lip,
medicine/anatomical_structure,medicine,anatomical_structure,Mouth,
medicine/anatomical_structure,medicine,anatomical_structure,Muscle,
medicine/anatomical_structure,medicine,anatomical_structure,Neck,
medicine/anatomical_structure,medicine,anatomical_structure,Nose,
medicine/anatomical_structure,medicine,anatomical_structure,Palate,
medicine/anatomical_structure,medicine,anatomical_structure,Pupil,
