Category,Category_1,Category_2,Entity
abstract_concept,abstract_concept,abstract_concept,Attention
abstract_concept,abstract_concept,abstract_concept,Beauty
abstract_concept,abstract_concept,abstract_concept,Concept
abstract_concept,abstract_concept,abstract_concept,Darkness
abstract_concept,abstract_concept,abstract_concept,Femininity
abstract_concept,abstract_concept,abstract_concept,Habit
abstract_concept,abstract_concept,abstract_concept,Longevity
abstract_concept,abstract_concept,abstract_concept,Luck
abstract_concept,abstract_concept,abstract_concept,Masculinity
abstract_concept,abstract_concept,abstract_concept,Mercy
abstract_concept,abstract_concept,abstract_concept,Mind
abstract_concept,abstract_concept,abstract_concept,Mirror image
abstract_concept,abstract_concept,abstract_concept,Morality
abstract_concept,abstract_concept,abstract_concept,Mysticism
abstract_concept,abstract_concept,abstract_concept,Nothing
abstract_concept,abstract_concept,abstract_concept,Principle
abstract_concept,abstract_concept,abstract_concept,Probability
abstract_concept,abstract_concept,abstract_concept,Prosperity
abstract_concept,abstract_concept,abstract_concept,Reason
abstract_concept,abstract_concept,abstract_concept,Soul
abstract_concept,abstract_concept,abstract_concept,Spirituality
abstract_concept,abstract_concept,abstract_concept,Supernatural
abstract_concept,abstract_concept,abstract_concept,Superstition
abstract_concept,abstract_concept,abstract_concept,Third eye
abstract_concept,abstract_concept,abstract_concept,Trinity
abstract_concept,abstract_concept,abstract_concept,Truth
abstract_concept,abstract_concept,abstract_concept,Virtue
abstract_concept,abstract_concept,abstract_concept,Wealth
abstract_concept,abstract_concept,abstract_concept,Wisdom
action,action,action,Threshing
action,action,action,Torture
action,action,action,Wear
action,action,action,Winnowing
agriculture,agriculture,agriculture,Crop
agriculture,agriculture,agriculture,Harvest
architecture/architectural_style,architecture,architectural_style,Arch
architecture/architectural_style,architecture,architectural_style,Architecture
architecture/architectural_style,architecture,architectural_style,Balcony
architecture/architectural_style,architecture,architectural_style,Capital (architecture)
architecture/architectural_style,architecture,architectural_style,Perpendicular
architecture/architectural_style,architecture,architectural_style,Pilaster
architecture/architectural_style,architecture,architectural_style,Pointed arch
architecture/architectural_style,architecture,architectural_style,Portico
architecture/building_complex,architecture,building_complex,Chinese garden
architecture/building_complex,architecture,building_complex,Garden
architecture/building_complex,architecture,building_complex,Imperial City
architecture/building_complex,architecture,building_complex,Transmission tower
architecture/building_complex,architecture,building_complex,Urban planning
architecture/building_function,architecture,building_function,Column
architecture/building_function,architecture,building_function,Defensive wall
architecture/building_function,architecture,building_function,Factory
architecture/building_function,architecture,building_function,Floor
architecture/building_function,architecture,building_function,Fortification
architecture/building_function,architecture,building_function,Frieze
architecture/building_function,architecture,building_function,Gate
architecture/building_function,architecture,building_function,Home altar
architecture/building_function,architecture,building_function,Kiln
architecture/building_function,architecture,building_function,Kitchen
architecture/building_function,architecture,building_function,Manhole
architecture/building_function,architecture,building_function,Manhole cover
architecture/building_function,architecture,building_function,Monastery
architecture/building_function,architecture,building_function,Museum
architecture/building_function,architecture,building_function,Palace
architecture/building_function,architecture,building_function,Pedestal
architecture/building_function,architecture,building_function,Porch
architecture/building_function,architecture,building_function,Room
architecture/building_function,architecture,building_function,Studio
architecture/building_function,architecture,building_function,Stupa
architecture/building_function,architecture,building_function,Tower
architecture/building_function,architecture,building_function,Warehouse
architecture/building_function,architecture,building_function,Wharf
architecture/construction_material,architecture,construction_material,Building material
architecture/construction_material,architecture,construction_material,Construction
architecture/construction_material,architecture,construction_material,Molding (process)
architecture/construction_material,architecture,construction_material,Porcelain
architecture/construction_material,architecture,construction_material,Roof
architecture/construction_material,architecture,construction_material,Stoneware
architecture/construction_material,architecture,construction_material,Straw
architecture/construction_material,architecture,construction_material,Terracotta
architecture/construction_material,architecture,construction_material,Tile
architecture/construction_material,architecture,construction_material,Truss
architecture/construction_material,architecture,construction_material,Wall
architecture/construction_material,architecture,construction_material,Wood
astronomy,astronomy,astronomy,Star chart
astronomy,astronomy,astronomy,Universe
astronomy/celestial_object_category,astronomy,celestial_object_category,Beta
astronomy/celestial_object_category,astronomy,celestial_object_category,Moon
astronomy/celestial_object_category,astronomy,celestial_object_category,Satellite
astronomy/celestial_object_category,astronomy,celestial_object_category,Star
astronomy/constellation,astronomy,constellation,Alpha
astronomy/constellation,astronomy,constellation,Constellation
astronomy/constellation,astronomy,constellation,Ursa Major
astronomy/phenomena,astronomy,phenomena,Horizon
astronomy/phenomena,astronomy,phenomena,Lunar phase
astronomy/phenomena,astronomy,phenomena,Sky
astronomy/phenomena,astronomy,phenomena,Space
beverage,beverage,beverage,Drink
beverage,beverage,beverage,Pint
beverage,beverage,beverage,Tea
beverage,beverage,beverage,Wine
biology/animal,biology,animal,Animal
biology/animal,biology,animal,Bat
biology/animal,biology,animal,Bear
biology/animal,biology,animal,Bird
biology/animal,biology,animal,Bull
biology/animal,biology,animal,Cattle
biology/animal,biology,animal,Chicken
biology/animal,biology,animal,Conch
biology/animal,biology,animal,Coral
biology/animal,biology,animal,Crab
biology/animal,biology,animal,Crane (bird)
biology/animal,biology,animal,Deer
biology/animal,biology,animal,Dog
biology/animal,biology,animal,Duck
biology/animal,biology,animal,Fish
biology/animal,biology,animal,Fly
biology/animal,biology,animal,Frog
biology/animal,biology,animal,Golden pheasant
biology/animal,biology,animal,Hare
biology/animal,biology,animal,Horse
biology/animal,biology,animal,Human
biology/animal,biology,animal,Lion
biology/animal,biology,animal,Livestock
biology/animal,biology,animal,Lobster
biology/animal,biology,animal,Offspring
biology/animal,biology,animal,Owl
biology/animal,biology,animal,Ox
biology/animal,biology,animal,Oyster
biology/animal,biology,animal,Peafowl
biology/animal,biology,animal,Pheasant
biology/animal,biology,animal,Pig
biology/animal,biology,animal,Polycephaly
biology/animal,biology,animal,Riding horse
biology/animal,biology,animal,Shrimp
biology/animal,biology,animal,Snake
biology/animal,biology,animal,Tiger
biology/animal,biology,animal,Turtle
biology/animal,biology,animal,van vis en
biology/animal,biology,animal,Working animal
biology,biology,biology,Family (biology)
biology/mold,biology,mold,Fungus
biology/mold,biology,mold,Lingzhi (mushroom)
biology/mold,biology,mold,Mushroom
biology/mold,biology,mold,Turtle shell
biology/organism_part,biology,organism_part,Arm
biology/organism_part,biology,organism_part,Beak
biology/organism_part,biology,organism_part,Bone
biology/organism_part,biology,organism_part,Breast
biology/organism_part,biology,organism_part,Buttocks
biology/organism_part,biology,organism_part,Ear
biology/organism_part,biology,organism_part,Eye
biology/organism_part,biology,organism_part,Face
biology/organism_part,biology,organism_part,Foot
biology/organism_part,biology,organism_part,Hair
biology/organism_part,biology,organism_part,Hand
biology/organism_part,biology,organism_part,Hindlimb
biology/organism_part,biology,organism_part,Human body
biology/organism_part,biology,organism_part,Lap
biology/organism_part,biology,organism_part,Leaf
biology/organism_part,biology,organism_part,Leg
biology/organism_part,biology,organism_part,Lip
biology/organism_part,biology,organism_part,Mouth
biology/organism_part,biology,organism_part,Neck
biology/organism_part,biology,organism_part,Petal
biology/organism_part,biology,organism_part,Seed
biology/organism_part,biology,organism_part,Tail
biology/organism_part,biology,organism_part,Tendril
biology/organism_part,biology,organism_part,Tongue
biology/organism_part,biology,organism_part,van berenklauwen
biology/organism_part,biology,organism_part,Wing
biology/plants,biology,plants,Bamboo
biology/plants,biology,plants,Bud
biology/plants,biology,plants,Cotton
biology/plants,biology,plants,Ebony
biology/plants,biology,plants,Evergreen
biology/plants,biology,plants,Flower
biology/plants,biology,plants,Gourd
biology/plants,biology,plants,Mugwort
biology/plants,biology,plants,Nelumbo nucifera
biology/plants,biology,plants,Oak
biology/plants,biology,plants,Peony
biology/plants,biology,plants,Pine
biology/plants,biology,plants,Plant
biology/plants,biology,plants,Tree
biology/plants,biology,plants,Vine
biology/plants,biology,plants,Willow
boats/hull_material,boats,hull_material,Hull (watercraft)
boats/ship_type,boats,ship_type,Anchor
boats/ship_type,boats,ship_type,Barge
boats/ship_type,boats,ship_type,Boat
boats/ship_type,boats,ship_type,Bow (watercraft)
boats/ship_type,boats,ship_type,Deck (ship)
boats/ship_type,boats,ship_type,East Indiaman
boats/ship_type,boats,ship_type,Merchant ship
boats/ship_type,boats,ship_type,Western East Indiamen
book/literature,book,literature,Chinese literature
book/literature,book,literature,Chinese poetry
book/literature,book,literature,Colophon (publishing)
book/literature,book,literature,Fantasy
book/literature,book,literature,L'Astrée
book/literature,book,literature,Legend
book/literature,book,literature,Literature
book/literature,book,literature,Poetry
book/literature,book,literature,Tang Dynasty Liangzhou Ci
book/written_work,book,written_work,Almanac
book/written_work,book,written_work,Anthology
book/written_work,book,written_work,Book
book/written_work,book,written_work,Scroll
book/written_work,book,written_work,The Classic of Tea
book/written_work,book,written_work,Zhuangzi (book)
business,business,business,Final good
business,business,business,Trade
business/business_operation,business,business_operation,Ancient Chinese coinage
business/business_operation,business,business_operation,Bottomry
business/business_operation,business,business_operation,Consumer
business/business_operation,business,business_operation,Customs
business/business_operation,business,business_operation,Deed
business/business_operation,business,business_operation,Export
business/business_operation,business,business_operation,Hong (business)
business/business_operation,business,business_operation,Inspection
business/business_operation,business,business_operation,Monopoly
business/business_operation,business,business_operation,Tax
business/company_type,business,company_type,Dutch East India Company
business/company_type,business,company_type,East India Company
business/company_type,business,company_type,James Harrison Furniture Company
business/company_type,business,company_type,Philippine Trading Company
business/company_type,business,company_type,San He Xing
business/industry,business,industry,Agriculture
business/industry,business,industry,Agriculture in China
business/industry,business,industry,Animal husbandry
business/industry,business,industry,Economy
business/industry,business,industry,International trade
business/industry,business,industry,Manufacturing
business/industry,business,industry,Mass production
business/industry,business,industry,Patronage
business/industry,business,industry,Teahouse
business/industry,business,industry,Traditional Chinese medicine
business/industry,business,industry,Welfare
business/product_category,business,product_category,Inventory
